,Date,Weekday
0,1834-06-30,Monday
1,1836-02-10,Wednesday
2,1836-02-26,Friday
3,1836-07-13,Wednesday
4,1837-09-22,Friday
5,1839-07-24,Wednesday
6,1840-01-19,Sunday
7,1841-01-02,Saturday
8,1843-02-27,Monday
9,1843-09-15,Friday
10,1844-03-09,Saturday
11,1846-06-12,Friday
12,1850-08-31,Saturday
13,1851-10-05,Sunday
14,1853-04-02,Saturday
15,1854-04-10,Monday
16,1857-03-25,Wednesday
17,1858-10-31,Sunday
18,1863-11-10,Tuesday
19,1864-11-22,Tuesday
20,1865-01-12,Thursday
21,1867-10-03,Thursday
22,1869-01-15,Friday
23,1871-08-03,Thursday
24,1872-03-04,Monday
25,1872-08-24,Saturday
26,1873-10-05,Sunday
27,1876-01-20,Thursday
28,1879-04-20,Sunday
29,1881-08-20,Saturday
30,1884-04-27,Sunday
31,1886-04-04,Sunday
32,1891-01-02,Friday
33,1893-05-03,Wednesday
34,1896-12-04,Friday
35,1898-03-27,Sunday
36,1899-04-16,Sunday
37,1901-05-19,Sunday
38,1903-04-30,Thursday
39,1905-10-09,Monday
40,1907-04-21,Sunday
41,1910-08-05,Friday
42,1914-08-03,Monday
43,1916-09-04,Monday
44,1918-02-24,Sunday
45,1919-01-06,Monday
46,1920-12-19,Sunday
47,1922-05-02,Tuesday
48,1923-04-24,Tuesday
49,1931-06-28,Sunday
50,1931-12-04,Friday
51,1932-11-20,Sunday
52,1933-04-23,Sunday
53,1933-11-19,Sunday
54,1934-01-14,Sunday
55,1936-02-16,Sunday
56,1936-04-26,Sunday
57,1976-12-15,Wednesday
58,1977-06-15,Wednesday
59,1978-06-12,Monday
60,1979-01-03,Wednesday
61,1979-03-04,Sunday
62,1979-10-25,Thursday
63,1980-02-28,Thursday
64,1980-03-20,Thursday
65,1980-09-03,Wednesday
66,1980-12-20,Saturday
67,1981-10-20,Tuesday
68,1982-05-23,Sunday
69,1982-10-28,Thursday
70,1983-08-05,Friday
71,1984-02-26,Sunday
72,1984-04-29,Sunday
73,1985-11-24,Sunday
74,1986-06-22,Sunday
75,1986-11-30,Sunday
76,1986-12-03,Wednesday
77,1987-10-06,Tuesday
78,1988-05-29,Sunday
79,1989-06-15,Thursday
80,1989-10-29,Sunday
81,1989-12-17,Sunday
82,1990-06-23,Saturday
83,1990-10-28,Sunday
84,1991-05-26,Sunday
85,1992-03-15,Sunday
86,1993-06-06,Sunday
87,1993-10-17,Sunday
88,1994-10-23,Sunday
89,1994-12-06,Tuesday
90,1995-05-28,Sunday
91,1995-11-19,Sunday
92,1996-03-03,Sunday
93,1997-10-19,Sunday
94,1998-10-25,Sunday
95,1999-06-13,Sunday
96,1999-10-17,Sunday
97,2000-12-03,Sunday
98,2001-05-13,Sunday
99,2001-10-21,Sunday
100,2003-05-25,Sunday
101,2003-10-26,Sunday
102,2003-11-16,Sunday
103,2004-03-14,Sunday
104,2004-06-13,Sunday
105,2005-02-20,Sunday
106,2005-04-17,Sunday
107,2005-06-19,Sunday
108,2006-01-11,Wednesday
109,2006-06-18,Sunday
110,2007-02-18,Sunday
111,2007-05-27,Sunday
112,2008-09-03,Wednesday
113,2009-01-03,Saturday
114,2009-07-06,Monday
115,2010-11-28,Sunday
116,2011-05-22,Sunday
117,2011-11-20,Sunday
118,2012-03-25,Sunday
119,2012-10-21,Sunday
120,2012-11-25,Sunday
121,2014-05-25,Sunday
122,2015-03-22,Sunday
123,2015-05-24,Sunday
124,2015-09-27,Sunday
125,2015-12-20,Sunday
126,2016-06-26,Sunday
127,2016-09-25,Sunday
128,2017-12-21,Thursday
129,2018-02-12,Monday
130,2019-04-28,Sunday
131,2019-05-26,Sunday
132,2019-10-11,Friday
133,2020-12-07,Monday
134,2021-02-14,Sunday
